,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:1903169,GO:1903169,GO:1903169,regulation of calcium ion transmembrane transport,18/891,144/17913,0.000289479,0.006667764,0.00550256,HAP1/CEMIP/GEM/BDKRB1/CACNB2/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/DRD1/SLC8A1/ATP1B1/NTSR1/FGF14/JPH3,18,0,,
GO:0000724,GO:0000724,GO:0000724,double-strand break repair via homologous recombination,15/891,108/17913,0.000289903,0.006667764,0.00550256,RBBP8/SFR1/TIMELESS/RAD54B/RAD51/FEN1/XRCC2/BLM/BRCA1/AUNIP/PARPBP/BRCA2/POLQ/RAD51AP1/ZNF365,15,0,,
GO:0001649,GO:0001649,GO:0001649,osteoblast differentiation,24/891,222/17913,0.000298685,0.006838799,0.005643707,BMP2/CYP24A1/BMP7/HAND2/BMP4/BMP6/SFRP1/GPNMB/CEBPB/IARS/FGFR2/FBXO5/GLI2/BMPR1B/COL1A1/VCAN/ID4/GLI1/RASSF2/IGFBP3/ITGA11/SEMA7A/GDF10/WNT4,24,0,,
GO:0051146,GO:0051146,GO:0051146,striated muscle cell differentiation,27/891,263/17913,0.00030039,0.006847012,0.005650484,KLHL41/BMP2/AGT/BMP4/CAPN3/DLL1/ACTG1/BHLHE41/EZH2/GATA6/CDH2/KLF5/SLC8A1/TPM1/ACTC1/MYEF2/ADAM12/NOX4/NRG1/CDK1/CCNB1/SORBS2/SDC1/MYOZ1/KCNH1/ANKRD1/COMP,27,0,,
GO:0035987,GO:0035987,GO:0035987,endodermal cell differentiation,9/891,45/17913,0.000314751,0.007142309,0.005894178,MMP8/GATA6/FN1/COL12A1/INHBA/COL5A1/COL8A1/MMP9/COL11A1,9,0,,
GO:0003156,GO:0003156,GO:0003156,regulation of animal organ formation,8/891,36/17913,0.000316721,0.00715507,0.005904709,BMP2/BMP7/HAND2/BMP4/FGF1/PIM1/SULF1/WNT2,8,0,,
GO:0000725,GO:0000725,GO:0000725,recombinational repair,15/891,109/17913,0.000321015,0.007220004,0.005958296,RBBP8/SFR1/TIMELESS/RAD54B/RAD51/FEN1/XRCC2/BLM/BRCA1/AUNIP/PARPBP/BRCA2/POLQ/RAD51AP1/ZNF365,15,0,,
GO:0009636,GO:0009636,GO:0009636,response to toxic substance,43/891,499/17913,0.000332234,0.0074394,0.006139352,HTR1B/PTGS2/BMP7/HMOX1/PPARGC1A/TLR2/NR4A2/NR4A3/CHKA/DUOX1/EPHX1/GNRH1/SMPD3/GGH/PXDN/DHFR/TIMELESS/ECT2/FGFR2/EIF4EBP1/EZH2/SPARC/KCNMA1/TXNIP/TYMS/NET1/COL1A1/ADCY7/ABCG2/AQP1/DRD1/SLC8A1/PYCR1/MET/ACTC1/BRIP1/ASNS/CDK1/RGS9/CCNB1/OXTR/SDC1/VCAM1,43,0,,
GO:0060415,GO:0060415,GO:0060415,muscle tissue morphogenesis,12/891,76/17913,0.000349498,0.007791656,0.006430051,DLL4/BMP2/S1PR1/FGFR2/MYLK/DSP/TPM1/ACTC1/WNT2/NRG1/ANKRD1/COL11A1,12,0,,
GO:0071772,GO:0071772,GO:0071772,response to BMP,18/891,147/17913,0.000373652,0.008235412,0.006796259,BMP2/BMP7/BMP4/BMP6/TMEM100/SFRP1/SMPD3/GREM2/GATA6/FSTL3/SULF1/BMPR1B/FBN1/GDF6/SCX/SFRP4/SPINT2/COMP,18,0,,
GO:0071773,GO:0071773,GO:0071773,cellular response to BMP stimulus,18/891,147/17913,0.000373652,0.008235412,0.006796259,BMP2/BMP7/BMP4/BMP6/TMEM100/SFRP1/SMPD3/GREM2/GATA6/FSTL3/SULF1/BMPR1B/FBN1/GDF6/SCX/SFRP4/SPINT2/COMP,18,0,,
GO:0070169,GO:0070169,GO:0070169,positive regulation of biomineral tissue development,9/891,46/17913,0.000374263,0.008235412,0.006796259,BMP2/BMP7/BMP4/BMP6/CEBPB/FBXO5/BMPR1B/SLC8A1/WNT4,9,0,,
GO:0032506,GO:0032506,GO:0032506,cytokinetic process,8/891,37/17913,0.000386668,0.008442511,0.006967167,SPIRE2/ECT2/RACGAP1/KIF23/AURKB/KIF20B/CEP55/KIF20A,8,0,,
GO:2000241,GO:2000241,GO:2000241,regulation of reproductive process,17/891,135/17913,0.000386997,0.008442511,0.006967167,NOX5/BMP7/BMP4/SFRP1/PLCB1/GNRH1/FGFR2/B4GALT1/SULF1/INHBA/CDC20/AURKA/OXTR/TTK/LIF/ASPM/WNT4,17,0,,
GO:0043044,GO:0043044,GO:0043044,ATP-dependent chromatin remodeling,12/891,77/17913,0.000395608,0.008593482,0.007091756,CENPL/ANP32E/CENPO/CENPH/CENPK/CENPI/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,12,0,,
GO:0007548,GO:0007548,GO:0007548,sex differentiation,27/891,269/17913,0.000429705,0.009294425,0.007670208,VGF/CYP19A1/NR0B1/ADAMTS1/BMP6/BCL2L11/CBX2/SFRP1/TFAP2C/CEBPB/GNRH1/RRM1/HMGB2/MAMLD1/GATA6/FSTL3/BMPR1B/FANCA/BRCA2/INHBA/CENPI/BRIP1/SCX/KIF18A/SDC1/ASPM/WNT4,27,0,,
GO:0050918,GO:0050918,GO:0050918,positive chemotaxis,11/891,67/17913,0.000432436,0.009313856,0.007686243,CXCL8/PGF/ARTN/S1PR1/F3/BMP4/SCG2/GPNMB/HMGB2/MET/F2RL1,11,0,,
GO:0061383,GO:0061383,GO:0061383,trabecula morphogenesis,9/891,47/17913,0.000442749,0.009495743,0.007836345,DLL4/BMP7/S1PR1/ADAMTS1/SLC40A1/SFRP1/COL1A1/TEK/NRG1,9,0,,
GO:0060688,GO:0060688,GO:0060688,regulation of morphogenesis of a branching structure,10/891,57/17913,0.000452573,0.009665663,0.007976571,PGF/AGT/BMP7/TACSTD2/BMP4/MDK/SFRP1/FGFR2/SULF1/WNT2,10,0,,
GO:0008584,GO:0008584,GO:0008584,male gonad development,17/891,137/17913,0.000460233,0.009788142,0.008077647,NR0B1/BCL2L11/SFRP1/TFAP2C/RRM1/HMGB2/MAMLD1/GATA6/FSTL3/FANCA/INHBA/BRIP1/SCX/KIF18A/SDC1/ASPM/WNT4,17,0,,
GO:0060562,GO:0060562,GO:0060562,epithelial tube morphogenesis,30/891,313/17913,0.000464847,0.00984507,0.008124626,DLL4/BMP2/PGF/AGT/BMP7/TACSTD2/HAND2/BMP4/NTN1/MDK/DLL1/SFRP1/CTSH/LAMA1/KIF26B/FGF1/TIMELESS/FGFR2/CELSR1/GLI2/MICAL2/PODXL/MET/EGF/STIL/WNT2/KIF20B/LGR5/SPINT2/WNT4,30,0,,
GO:0016572,GO:0016572,GO:0016572,histone phosphorylation,8/891,38/17913,0.000468676,0.009884976,0.008157559,HIPK4/VRK1/DRD1/AURKB/CDK1/CCNA2/CCNB1/AURKA,8,0,,
GO:0006936,GO:0006936,GO:0006936,muscle contraction,32/891,343/17913,0.000490247,0.01029722,0.008497763,KLHL41/PTGS2/STC1/AGT/BDKRB2/CACNB2/TMEM38A/UCN/TMEM38B/KCND3/CALD1/KCNMA1/ANK2/SULF1/KCNE4/MYLK/F2R/HTR2A/DRD1/SLC8A1/DSP/TPM1/ACTC1/ATP1B1/CNN1/ACTA2/SORBS1/DSG2/OXTR/MYH2/COMP/MYH1,32,1,,
GO:0046546,GO:0046546,GO:0046546,development of primary male sexual characteristics,17/891,138/17913,0.000501128,0.010482438,0.008650614,NR0B1/BCL2L11/SFRP1/TFAP2C/RRM1/HMGB2/MAMLD1/GATA6/FSTL3/FANCA/INHBA/BRIP1/SCX/KIF18A/SDC1/ASPM/WNT4,17,0,,
GO:0051924,GO:0051924,GO:0051924,regulation of calcium ion transport,25/891,244/17913,0.000509521,0.010614318,0.008759447,HAP1/PTGS2/STC1/CEMIP/GEM/AGT/BDKRB1/CACNB2/PLCG2/TMEM38A/CAPN3/UCN/TMEM38B/ANK2/JPH2/MYLK/F2R/DRD1/SLC8A1/EGF/ATP1B1/NTSR1/FGF14/RGS9/JPH3,25,0,,
GO:0032653,GO:0032653,GO:0032653,regulation of interleukin-10 production,9/891,48/17913,0.000521208,0.010769507,0.008887517,MMP8/LGALS9/TLR2/DLL1/TRIB2/TNFSF4/PDCD1LG2/CD274/IL20RB,9,0,,
GO:0045840,GO:0045840,GO:0045840,positive regulation of mitotic nuclear division,9/891,48/17913,0.000521208,0.010769507,0.008887517,SMPD3/CDT1/ESPL1/EGF/CDCA5/NUSAP1/UBE2C/AURKA/DLGAP5,9,0,,
GO:0051384,GO:0051384,GO:0051384,response to glucocorticoid,17/891,139/17913,0.000545111,0.01121781,0.009257478,PTGS2/GJB2/STC1/ZFP36/BMP6/UCN/BCL2L11/MDK/IL1RN/PTPRU/GBA/EIF4EBP1/SPARC/FBXO32/TYMS/AQP1/SDC1,17,0,,
GO:0050927,GO:0050927,GO:0050927,positive regulation of positive chemotaxis,6/891,22/17913,0.000559023,0.011411696,0.009417482,CXCL8/ARTN/S1PR1/F3/SCG2/F2RL1,6,0,,
GO:1904666,GO:1904666,GO:1904666,regulation of ubiquitin protein ligase activity,6/891,22/17913,0.000559023,0.011411696,0.009417482,UBE2S/FBXO5/MAD2L1/PLK1/UBE2C/CDC20,6,0,,
GO:0060045,GO:0060045,GO:0060045,positive regulation of cardiac muscle cell proliferation,8/891,39/17913,0.000564235,0.011445268,0.009445187,MIR17HG/FGFR2/PIM1/GATA6/GLI1/WNT2/CDK1/CCNB1,8,0,,
GO:0007369,GO:0007369,GO:0007369,gastrulation,20/891,178/17913,0.000565171,0.011445268,0.009445187,MMP8/MIR221/BMP7/BMP4/NR4A3/IL1RN/SFRP1/ETS2/FGFR2/GATA6/FN1/COL12A1/TENM4/INHBA/COL5A1/SCX/COL8A1/EYA2/MMP9/COL11A1,20,0,,
GO:0021537,GO:0021537,GO:0021537,telencephalon development,25/891,246/17913,0.000574929,0.011596676,0.009570137,RTN4RL2/BMP2/BMP4/NR4A3/MDK/MFSD2A/PLCB1/NFIB/EZH2/KIRREL3/CDH2/AQP1/DRD1/SLC8A1/SYNE2/ID4/INHBA/ARHGAP11B/POU3F3/NRG1/WDR62/SEMA7A/OXTR/KIF14/ASPM,25,0,,
GO:0009070,GO:0009070,GO:0009070,serine family amino acid biosynthetic process,5/891,15/17913,0.000595151,0.011957117,0.00986759,CTH/PSPH/PHGDH/CBSL/PSAT1,5,0,,
GO:0031145,GO:0031145,GO:0031145,anaphase-promoting complex-dependent catabolic process,12/891,81/17913,0.000634795,0.012703404,0.010483462,UBE2S/FBXO5/MAD2L1/AURKB/PTTG1/CDK1/PLK1/CCNB1/UBE2C/CDC20/AURKA/BUB1B,12,0,,
GO:0060541,GO:0060541,GO:0060541,respiratory system development,21/891,193/17913,0.000638242,0.012722282,0.010499041,CHI3L1/MIR17HG/BMP4/TMEM38B/CTSH/LAMA1/SMPD3/FGF1/TIMELESS/FGFR2/EIF4EBP1/NFIB/SPARC/GATA6/CELSR1/GLI2/FSTL3/ADAMTS2/GLI1/WNT2/LIF,21,0,,
GO:0003206,GO:0003206,GO:0003206,cardiac chamber morphogenesis,16/891,129/17913,0.000672087,0.01334068,0.011009373,DLL4/MIR17HG/BMP7/HAND2/ADAMTS1/BMP4/FGFR2/GATA6/SEMA3C/DSP/TPM1/WNT2/TEK/NRG1/DNAH11/COL11A1,16,0,,
GO:0051281,GO:0051281,GO:0051281,positive regulation of release of sequestered calcium ion into cytosol,8/891,40/17913,0.000674945,0.01334068,0.011009373,HAP1/CEMIP/BDKRB1/CAPN3/JPH2/F2R/DRD1/NTSR1,8,0,,
GO:0061036,GO:0061036,GO:0061036,positive regulation of cartilage development,7/891,31/17913,0.000677139,0.01334068,0.011009373,BMP2/BMP4/BMP6/MDK/BMPR1B/GDF6/SCX,7,0,,
GO:0071241,GO:0071241,GO:0071241,cellular response to inorganic substance,21/891,194/17913,0.000683055,0.013405278,0.011062682,PTGS2/MMP3/HMOX1/PPARGC1A/CAPN3/BMP6/ADCY1/TREX1/SLC40A1/SMPD3/XRCC4/TIMELESS/ECT2/FSTL3/ADCY7/AQP1/BLM/CCNA2/CCNB1/MMP9/KCNH1,21,0,,
GO:0006939,GO:0006939,GO:0006939,smooth muscle contraction,14/891,105/17913,0.000694196,0.013569902,0.011198538,PTGS2/AGT/BDKRB2/KCNMA1/SULF1/MYLK/F2R/HTR2A/DRD1/SLC8A1/CNN1/ACTA2/OXTR/COMP,14,1,,
GO:1901342,GO:1901342,GO:1901342,regulation of vasculature development,37/891,425/17913,0.000697885,0.013569902,0.011198538,CHI3L1/DLL4/PTGS2/CXCL8/PRL/PDE3B/MIR221/AGT/BMP7/HMOX1/F3/BMP4/TMEM100/ENPP2/MDK/DLL1/SFRP1/CTSH/GPNMB/DCN/RUNX1/FGF1/SPARC/CTH/GATA6/HSPG2/SULF1/AQP1/BRCA1/TEK/ADAM12/E2F2/SERPINB7/SERPINE1/ADM2/MIR503/WNT4,37,0,,
GO:0036293,GO:0036293,GO:0036293,response to decreased oxygen levels,33/891,365/17913,0.000699452,0.013569902,0.011198538,PTGS2/BMP2/STC1/CBFA2T3/BMP7/HMOX1/PPARGC1A/TLR2/DPP4/RWDD3/NR4A2/SFRP1/FMN2/UCP2/EIF4EBP1/KCNMA1/GATA6/PLOD2/APOLD1/E2F1/AQP1/SLC8A1/PLAT/BRIP1/ATP1B1/TEK/NOX4/CCNA2/POSTN/CCNB1/OXTR/VCAM1/ANKRD1,33,0,,
GO:0001706,GO:0001706,GO:0001706,endoderm formation,9/891,50/17913,0.000712396,0.013664557,0.011276652,MMP8/GATA6/FN1/COL12A1/INHBA/COL5A1/COL8A1/MMP9/COL11A1,9,0,,
GO:0036297,GO:0036297,GO:0036297,interstrand cross-link repair,9/891,50/17913,0.000712396,0.013664557,0.011276652,FANCM/RAD51/FANCI/FANCB/UBE2T/FANCD2/FANCA/RAD51AP1/EME1,9,0,,
GO:0044380,GO:0044380,GO:0044380,protein localization to cytoskeleton,9/891,50/17913,0.000712396,0.013664557,0.011276652,ABHD17C/CEP72/HTR2A/STIL/SPAG5/KIF20B/AURKA/FAM83D/TTK,9,0,,
GO:0030500,GO:0030500,GO:0030500,regulation of bone mineralization,11/891,71/17913,0.000719235,0.013695074,0.011301836,BMP2/BMP7/S1PR1/BMP4/BMP6/BMPR1B/SLC8A1/ENPP1/OMD/COMP/WNT4,11,0,,
GO:0051054,GO:0051054,GO:0051054,positive regulation of DNA metabolic process,23/891,222/17913,0.000719623,0.013695074,0.011301836,PPARGC1A/SPIRE2/UCN/FMN2/TIMELESS/TNFSF4/CDC7/ATAD5/GLI2/RAD51/NEK7/DBF4B/CDT1/RFC3/BRCA1/E2F7/GLI1/NOX4/FOXM1/AURKB/CDK1/E2F8/NEK2,23,0,,
GO:0072331,GO:0072331,GO:0072331,signal transduction by p53 class mediator,26/891,264/17913,0.000723959,0.013695074,0.011301836,HIPK4/BDKRB2/FHIT/RBBP8/RMI2/DYRK2/ATAD5/E2F1/RFC3/BLM/BRCA1/E2F7/BRCA2/EXO1/BRIP1/FOXM1/AURKB/E2F2/CDK1/E2F8/CCNB1/TPX2/CDC25C/AURKA/GTSE1/ANKRD1,26,0,,
GO:0050926,GO:0050926,GO:0050926,regulation of positive chemotaxis,6/891,23/17913,0.000724764,0.013695074,0.011301836,CXCL8/ARTN/S1PR1/F3/SCG2/F2RL1,6,0,,
GO:2000027,GO:2000027,GO:2000027,regulation of animal organ morphogenesis,25/891,250/17913,0.000728077,0.013706728,0.011311453,RSPO3/BMP2/AGT/BMP7/TACSTD2/HAND2/BMP4/TNFRSF11B/MDK/SFRP1/FGF1/FGFR2/NFIB/PIM1/CELSR1/SULF1/SEMA3C/GLI1/WNT2/TIAM1/LIF/DACT1/SAPCD2/WNT4/ASPN,25,0,,
GO:0031109,GO:0031109,GO:0031109,microtubule polymerization or depolymerization,13/891,94/17913,0.000751196,0.01408977,0.011627558,HSPA1A/CENPJ/PSRC1/FBXO5/MET/CKAP2/NAV3/KIF2C/KIF18B/SKA1/KIF24/KIF18A/SKA3,13,0,,
GO:0010639,GO:0010639,GO:0010639,negative regulation of organelle organization,32/891,352/17913,0.000762999,0.014194815,0.011714247,BMP7/TACSTD2/PPARGC1A/SCIN/S1PR1/BMP4/UCN/ARHGAP6/HSPA1A/FBXO5/TET1/CCNF/CDT1/MTBP/BRCA1/ESPL1/MET/CKAP2/MAD2L1/NAV3/AURKB/PLK1/TRIP13/SPDL1/CENPF/CCNB1/CDC20/NEK2/TTK/LIF/TOP2A/NDC80,32,0,,
GO:0002065,GO:0002065,GO:0002065,columnar/cuboidal epithelial cell differentiation,14/891,106/17913,0.000764015,0.014194815,0.011714247,BMP2/MCOLN3/BMP4/BMP6/JAG2/DLL1/CEBPB/FGFR2/GATA6/CDH2/KLF5/TYMS/SERPINE1/WNT4,14,0,,
GO:0090288,GO:0090288,GO:0090288,negative regulation of cellular response to growth factor stimulus,18/891,156/17913,0.000765174,0.014194815,0.011714247,NRROS/AGT/MIR17HG/SFRP1/CADM4/DCN/HSPA1A/GREM2/FSTL3/SULF1/FBN1/PMEPA1/PRDM16/RASL11B/LDLRAD4/MIR503/WNT4/ASPN,18,0,,
GO:0032835,GO:0032835,GO:0032835,glomerulus development,10/891,61/17913,0.000789919,0.014547676,0.012005444,KLF15/BMP7/BMP4/KIRREL3/SULF1/PODXL/COL4A4/TEK/ACTA2/SERPINB7,10,0,,
GO:0048645,GO:0048645,GO:0048645,animal organ formation,10/891,61/17913,0.000789919,0.014547676,0.012005444,BMP7/HAND2/BMP4/FGF1/FGFR2/PIM1/GATA6/GLI2/SULF1/WNT2,10,0,,
GO:0000079,GO:0000079,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,12/891,83/17913,0.000793854,0.014555706,0.012012071,DIRAS3/HERC5/CDC25A/CKS2/PSRC1/BLM/PKMYT1/CDC6/PLK1/CCNB1/CDC25C/CDKN3,12,0,,
GO:0042770,GO:0042770,GO:0042770,signal transduction in response to DNA damage,16/891,131/17913,0.000796082,0.014555706,0.012012071,TREX1/ATAD5/E2F1/BRCA1/DTL/E2F7/BRCA2/FOXM1/CDK1/PLK1/E2F8/CCNB1/CDC25C/AURKA/GTSE1/ANKRD1,16,0,,
GO:0065004,GO:0065004,GO:0065004,protein-DNA complex assembly,22/891,210/17913,0.000801886,0.014568406,0.012022552,CENPL/GMNN/HMGB2/CHAF1A/RAD51/CHAF1B/CDT1/CENPO/HELLS/ASF1B/CENPH/CENPK/CENPI/NAP1L3/CENPM/CENPN/CENPU/CENPF/OIP5/CENPE/CENPA/HJURP,22,0,,
GO:0070317,GO:0070317,GO:0070317,negative regulation of G0 to G1 transition,8/891,41/17913,0.000802509,0.014568406,0.012022552,RBBP8/EZH2/CDC7/RAD51/E2F1/BRCA1/RRM2/MIR503,8,0,,
GO:2000779,GO:2000779,GO:2000779,regulation of double-strand break repair,11/891,72/17913,0.000811485,0.014678932,0.012113763,MIR221/SPIRE2/FMN2/TIMELESS/RAD51/AUNIP/PARPBP/FOXM1/POLQ/RAD51AP1/ZNF365,11,0,,
GO:0061351,GO:0061351,GO:0061351,neural precursor cell proliferation,17/891,144/17913,0.000818253,0.014726332,0.01215288,DLL4/ARTN/MDK/NES/RRM1/FGFR2/CDH2/ID4/RACGAP1/EGF/POU3F3/WNT2/MELK/SHCBP1/KIF14/ASPM/SPINT2,17,0,,
GO:0097421,GO:0097421,GO:0097421,liver regeneration,7/891,32/17913,0.000829958,0.014726332,0.01215288,HMOX1/CEBPB/UCP2/EZH2/TYMS/GLI1/AURKA,7,0,,
GO:0030397,GO:0030397,GO:0030397,membrane disassembly,5/891,16/17913,0.000830422,0.014726332,0.01215288,VRK1/CCNB2/CDK1/PLK1/CCNB1,5,0,,
GO:0051081,GO:0051081,GO:0051081,nuclear envelope disassembly,5/891,16/17913,0.000830422,0.014726332,0.01215288,VRK1/CCNB2/CDK1/PLK1/CCNB1,5,0,,
GO:0097067,GO:0097067,GO:0097067,cellular response to thyroid hormone stimulus,5/891,16/17913,0.000830422,0.014726332,0.01215288,PPARGC1A/LMO2/CTSL/CTSH/CTSS,5,0,,
GO:0033273,GO:0033273,GO:0033273,response to vitamin,13/891,95/17913,0.000831489,0.014726332,0.01215288,KYNU/PTGS2/STC1/CYP24A1/BMP7/SFRP1/SPARC/PIM1/TYMS/SPP1/COL1A1/BRIP1/POSTN,13,0,,
GO:0001666,GO:0001666,GO:0001666,response to hypoxia,32/891,354/17913,0.000839193,0.014811171,0.012222893,PTGS2/BMP2/STC1/CBFA2T3/BMP7/HMOX1/PPARGC1A/TLR2/DPP4/RWDD3/NR4A2/SFRP1/FMN2/UCP2/EIF4EBP1/KCNMA1/GATA6/PLOD2/APOLD1/E2F1/AQP1/SLC8A1/PLAT/BRIP1/ATP1B1/TEK/NOX4/CCNA2/POSTN/CCNB1/VCAM1/ANKRD1,32,0,,
GO:0006816,GO:0006816,GO:0006816,calcium ion transport,36/891,415/17913,0.000873656,0.015366066,0.012680819,CCL8/HAP1/TRPM3/PTGS2/MCOLN2/STC1/CEMIP/GEM/AGT/BDKRB1/MCOLN3/CACNB2/PLCG2/CDH23/TMEM38A/CAPN3/ATP2A3/UCN/TMEM38B/ANK2/JPH2/MYLK/F2R/HTR2A/DRD1/SLC8A1/EGF/RAMP1/KCNN4/ATP1B1/NTSR1/FGF14/NALCN/RGS9/CHRNA9/JPH3,36,0,,
GO:0060402,GO:0060402,GO:0060402,calcium ion transport into cytosol,17/891,145/17913,0.000885027,0.01540715,0.012714723,HAP1/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/JPH3,17,0,,
GO:0048477,GO:0048477,GO:0048477,oogenesis,12/891,84/17913,0.000885085,0.01540715,0.012714723,ZGLP1/MDK/FMN2/FBXO5/BMPR1B/BRCA2/TRIP13/CCNB1/AURKA/LGR5/ASPM/WNT4,12,0,,
GO:0051781,GO:0051781,GO:0051781,positive regulation of cell division,12/891,84/17913,0.000885085,0.01540715,0.012714723,PGF/MDK/FGF1/ECT2/FGFR2/LBH/RACGAP1/CDC6/KIF23/AURKB/KIF20B/KIF14,12,0,,
GO:0097327,GO:0097327,GO:0097327,response to antineoplastic agent,13/891,96/17913,0.000918862,0.015849167,0.013079497,GJB2/HMOX1/TREX1/GBA/DHFR/TIMELESS/EIF4EBP1/RAD51/FBXO32/AQP1/BLM/BRCA1/ASNS,13,0,,
GO:0000132,GO:0000132,GO:0000132,establishment of mitotic spindle orientation,6/891,24/17913,0.000926068,0.015849167,0.013079497,MAD2L1/PLK1/SPDL1/CENPA/NDC80/SAPCD2,6,0,,
GO:0010971,GO:0010971,GO:0010971,positive regulation of G2/M transition of mitotic cell cycle,6/891,24/17913,0.000926068,0.015849167,0.013079497,CDC7/FBXO5/DBF4B/DTL/CDK1/CCNB1,6,0,,
GO:0051984,GO:0051984,GO:0051984,positive regulation of chromosome segregation,6/891,24/17913,0.000926068,0.015849167,0.013079497,FEN1/CDT1/ESPL1/CDC6/CCNB1/DLGAP5,6,0,,
GO:0060571,GO:0060571,GO:0060571,morphogenesis of an epithelial fold,6/891,24/17913,0.000926068,0.015849167,0.013079497,BMP7/BMP4/FGFR2/GLI2/SULF1/WNT2,6,0,,
GO:0030278,GO:0030278,GO:0030278,regulation of ossification,21/891,199/17913,0.00095031,0.016209474,0.01337684,BMP2/BMP7/S1PR1/HAND2/BMP4/BMP6/MDK/SFRP1/CEBPB/FGFR2/FBXO5/BMPR1B/SLC8A1/ENPP1/ID4/GLI1/RASSF2/GDF10/OMD/COMP/WNT4,21,0,,
GO:0097191,GO:0097191,GO:0097191,extrinsic apoptotic signaling pathway,22/891,213/17913,0.000968158,0.016402634,0.013536245,IL19/MIR221/AGT/HMOX1/BMP4/DAPK1/BCL2L11/SCG2/SFRP1/HSPA1A/MLLT11/NGF/HMGB2/UNC5B/ITGA6/SKIL/DEPTOR/BMPR1B/BRCA1/INHBA/EYA2/SERPINE1,22,0,,
GO:0007204,GO:0007204,GO:0007204,positive regulation of cytosolic calcium ion concentration,25/891,255/17913,0.000968568,0.016402634,0.013536245,HAP1/MCOLN2/CEMIP/AGT/BDKRB1/MCOLN3/BDKRB2/CACNB2/PLCG2/S1PR1/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/TGM2/OXTR/F2RL1/CHRNA9/JPH3,25,0,,
GO:0071900,GO:0071900,GO:0071900,regulation of protein serine/threonine kinase activity,40/891,479/17913,0.000971315,0.016402634,0.013536245,BMP2/CEMIP/GADD45G/BMP7/DUSP6/FAM20A/SHC2/DIRAS3/HERC5/BMP4/SFRP1/GBA/DUSP4/CDC25A/NGF/FGF1/TRIB2/CKS2/EZH2/PKIA/DUSP8/PSRC1/DBF4B/F2R/HTR2A/TPD52L1/BLM/EGF/PKMYT1/CDC6/NOX4/NRG1/CDK1/PLK1/CCNB1/TIAM1/CDC25C/IQGAP3/CDKN3/GADD45B,40,0,,
GO:0048872,GO:0048872,GO:0048872,homeostasis of number of cells,24/891,241/17913,0.000975989,0.016426997,0.013556351,MIR221/MIR17HG/LGALS9/HMOX1/MAFB/ZFP36/BMP4/BCL2L11/SLC40A1/HSPA1A/TSC22D3/GCNT4/HMGB2/EZH2/SKIL/CDH2/IL7R/F2R/NCAPG2/INHBA/IL20RB/CCNB2/RASSF2/GPR183,24,0,,
GO:0014910,GO:0014910,GO:0014910,regulation of smooth muscle cell migration,12/891,85/17913,0.000984888,0.016502222,0.013618429,MIR221/AGT/PPARGC1A/ADAMTS1/NR4A3/MDK/TPM1/NOX4/IGFBP3/POSTN/SERPINE1/MIR503,12,0,,
GO:0007517,GO:0007517,GO:0007517,muscle organ development,35/891,403/17913,0.001002965,0.016502222,0.013618429,KLHL41/DLL4/BMP2/MIR17HG/S1PR1/BMP4/CAPN3/DLL1/DCN/FGFR2/PIM1/GATA6/HIVEP3/JPH2/KLF5/MYLK/DSP/GLI1/TPM1/ACTC1/WNT2/NRG1/CDK1/SCX/TAGLN/ITGA11/CENPF/CCNB1/SGCG/LIF/MYOZ1/HBEGF/ANKRD1/COL11A1/ELN,35,0,,
GO:0051255,GO:0051255,GO:0051255,spindle midzone assembly,4/891,10/17913,0.001003184,0.016502222,0.013618429,RACGAP1/KIF23/AURKB/KIF4A,4,0,,
GO:0051315,GO:0051315,GO:0051315,attachment of mitotic spindle microtubules to kinetochore,4/891,10/17913,0.001003184,0.016502222,0.013618429,CDT1/KIF2C/CENPE/NDC80,4,0,,
GO:0060513,GO:0060513,GO:0060513,prostatic bud formation,4/891,10/17913,0.001003184,0.016502222,0.013618429,BMP7/BMP4/GLI2/SULF1,4,0,,
GO:0071281,GO:0071281,GO:0071281,cellular response to iron ion,4/891,10/17913,0.001003184,0.016502222,0.013618429,HMOX1/BMP6/SLC40A1/CCNB1,4,0,,
GO:0071313,GO:0071313,GO:0071313,cellular response to caffeine,4/891,10/17913,0.001003184,0.016502222,0.013618429,PPARGC1A/TMEM38A/TMEM38B/SLC8A1,4,0,,
GO:0055074,GO:0055074,GO:0055074,calcium ion homeostasis,34/891,388/17913,0.001009389,0.016550724,0.013658456,CCL8/HAP1/HTR1B/MCOLN2/STC1/CEMIP/AGT/BDKRB1/MCOLN3/BDKRB2/CACNB2/FAM20A/PLCG2/CDH23/S1PR1/ATP6V1B1/TMEM38A/CAPN3/TMEM38B/SLC25A27/TMTC2/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/ATP1B1/NTSR1/TGM2/OXTR/F2RL1/CHRNA9/JPH3,34,0,,
